"__export__.openerp_enterprise_trial_log_60289_60654af9","2018-10-25 16:34:10",":hr:hr_recruitment:hr_holidays:"
"__export__.openerp_enterprise_trial_log_60310_a302c660","2018-10-25 16:36:15",":crm:sale_management:account:point_of_sale:sign:sale_subscription:account_accountant:project:timesheet_grid:helpdesk:stock:purchase:mrp:mrp_plm:maintenance:quality_control:repair:website:website_slides:mass_mailing:marketing_automation:website_calendar:website_mass_mailing:hr:hr_recruitment:hr_holidays:hr_expense:hr_appraisal:"
"__export__.openerp_enterprise_trial_log_60311_3801f44e","2018-10-25 16:36:15",":crm:sale_management:account:point_of_sale:sign:sale_subscription:account_accountant:project:timesheet_grid:helpdesk:stock:purchase:mrp:mrp_plm:maintenance:quality_control:repair:website:website_slides:mass_mailing:marketing_automation:website_calendar:website_mass_mailing:hr:hr_recruitment:hr_holidays:hr_expense:hr_appraisal:"
"__export__.openerp_enterprise_trial_log_60312_079789ff","2018-10-25 16:36:18",":crm:sale_management:account:point_of_sale:sign:sale_subscription:account_accountant:project:timesheet_grid:helpdesk:stock:purchase:mrp:mrp_plm:maintenance:quality_control:repair:website:website_slides:mass_mailing:marketing_automation:website_calendar:website_mass_mailing:hr:hr_recruitment:hr_holidays:hr_expense:hr_appraisal:"
"__export__.openerp_enterprise_trial_log_60316_e979a307","2018-10-25 16:37:19",":crm:sale_management:account:sign:account_accountant:project:timesheet_grid:stock:purchase:mrp:repair:website:website_blog:website_forum:marketing_automation:website_calendar:website_mass_mailing:hr:hr_recruitment:hr_holidays:hr_expense:fleet:web_studio:"
"__export__.openerp_enterprise_trial_log_60323_b28c54a2","2018-10-25 16:41:46",":sale_management:account:stock:purchase:mrp:"
"__export__.openerp_enterprise_trial_log_60324_581890a0","2018-10-25 16:42:10",":crm:sale_management:account:account_accountant:project:stock:purchase:hr:hr_recruitment:hr_expense:web_studio:"
"__export__.openerp_enterprise_trial_log_60330_ede120be","2018-10-25 16:45:41",":crm:sale_management:account:point_of_sale:sign:sale_subscription:account_accountant:project:timesheet_grid:purchase:"
"__export__.openerp_enterprise_trial_log_60331_f9908d30","2018-10-25 16:47:38",":mass_mailing:marketing_automation:survey:website_calendar:website_mass_mailing:web_studio:"
"__export__.openerp_enterprise_trial_log_60333_597563d3","2018-10-25 16:49:31",":sale_management:account:account_accountant:stock:purchase:mrp:mrp_plm:"
"__export__.openerp_enterprise_trial_log_60334_4400bfae","2018-10-25 16:51:04",":crm:timesheet_grid:maintenance:website:website_blog:website_slides:website_livechat:website_calendar:hr_holidays:hr_expense:"
"__export__.openerp_enterprise_trial_log_60335_22b6c781","2018-10-25 16:51:09",":sale_management:account:website:hr:hr_recruitment:hr_expense:fleet:web_studio:"
"__export__.openerp_enterprise_trial_log_60341_eeba847c","2018-10-25 17:00:00",":sale_management:point_of_sale:account_accountant:stock:purchase:"
"__export__.openerp_enterprise_trial_log_60350_c39de67e","2018-10-25 17:03:34",":crm:sale_management:account:web_studio:"
"__export__.openerp_enterprise_trial_log_60351_9362800f","2018-10-25 17:04:12",":sale_management:account:stock:web_studio:"
"__export__.openerp_enterprise_trial_log_60353_fa6c50ec","2018-10-25 17:04:54",":crm:sale_management:account:point_of_sale:sign:account_accountant:stock:purchase:hr:hr_holidays:"
"__export__.openerp_enterprise_trial_log_60360_bf8586ce","2018-10-25 17:12:31",":crm:account:account_accountant:stock:purchase:hr:hr_recruitment:hr_holidays:hr_expense:web_studio:"
"__export__.openerp_enterprise_trial_log_60364_6b738465","2018-10-25 17:17:06",":mrp:mrp_plm:maintenance:quality_control:repair:"
"__export__.openerp_enterprise_trial_log_60378_4712b7d3","2018-10-25 17:27:11",":crm:sale_management:account:account_accountant:project:stock:purchase:website:website_sale:hr:"
"__export__.openerp_enterprise_trial_log_60380_a0ea49e0","2018-10-25 17:31:04",":crm:sale_management:account:sale_subscription:account_accountant:timesheet_grid:helpdesk:stock:mrp:hr_expense:"
